selling_price,km_driven,mileage,engine,max_power
450000,145500,23.4,1248,74
370000,120000,21.14,1498,103.52
158000,140000,17.7,1497,78
225000,127000,23,1396,90
130000,120000,16.1,1298,88.2
440000,45000,20.14,1197,81.86
96000,175000,17.3,1061,57.5
45000,5000,16.1,796,37
350000,90000,23.59,1364,67.1
200000,169000,20,1399,68.1
500000,68000,19.01,1461,108.45
92000,100000,17.3,993,60
280000,140000,19.3,1248,73.9
180000,90000,18.9,1061,67
400000,40000,18.15,1198,82
778000,70000,24.52,1248,88.5
500000,53000,23,1396,90
150000,80000,19.7,796,46.3
680000,100000,22.54,1396,88.73
174000,100000,21,1461,64.1
950000,50000,25.5,1498,98.6
525000,40000,26.59,1248,74
600000,72000,21.5,1248,88.8
500000,35000,20.3,1199,83.81
575000,45000,21.4,1197,83.1
275000,28000,24.7,796,47.3
300000,70000,18.2,1248,73.8
220000,120000,18.9,1061,67
254999,25000,16.8,796,34.2
670000,70000,24.3,1248,88.5
150000,35000,14,796,35
730000,2388,18.6,1197,81.83
650000,16200,24.3,1248,88.5
330000,10000,33.44,796,40.3
366000,15000,23.95,998,67.1
1149000,5000,17,1591,121.3
150000,42000,20.63,1198,67
425000,60000,13.93,2179,138.03
150000,76000,16.1,796,37
2100000,5000,16,1368,160.77
925000,28900,17.8,1497,117.3
425000,86300,16.8,1497,116.3
675000,23300,18.5,1197,83.14
819999,32600,24.3,1248,88.5
390000,10300,23.95,998,67.05
1500000,77000,12.55,2982,168.5
700000,99000,12.99,2494,100
1450000,27800,14.8,2143,120.7
425000,49800,24.7,1498,98.63
1090000,151000,13.5,2477,175.56
600000,54700,26,1498,98.6
850000,64000,20.65,1462,103.25
525000,63000,27.3,1498,98.6
1650000,127700,11.36,2755,171.5
950000,99000,12.99,2494,100.6
1750000,33900,17.68,1968,174.33
1590000,25000,14.28,1798,138.03
1689999,50000,18.53,1968,187.74
1425000,59000,14.84,2143,170
265000,120000,21.12,1248,88.8
190000,110000,20.36,1197,78.9
425000,60000,21.27,1396,88.76
630000,147000,26.59,1248,74
600000,25000,18.16,1196,86.8
650000,30000,21.4,1197,83.1
540000,40000,22,1498,108.495
630000,135000,25.1,1498,98.6
448000,30000,20.51,998,67
500000,80000,21.66,1498,108.62
745000,70000,24.3,1248,88.5
1025000,9850,24.3,1248,88.5
235000,60000,20.36,1197,78.9
630000,70000,25.2,1248,74
1700000,78000,12.55,2982,168.5
450000,120000,22.9,1248,74
450000,120000,16.02,1373,93.7
450000,170000,20.54,1598,103.6
1200000,140000,12.99,2494,100.6
610000,90000,22.77,1498,98.59
2500000,30000,15.71,1998,189
484999,10000,23.1,998,67.04
275000,49000,19.02,1198,67.05
315000,32000,24.7,796,47.3
275000,38000,24.7,796,47.3
290000,28000,19.81,1086,68.05
280000,32000,14,796,35
225000,44000,26.2,998,58.2
455000,42000,16.47,1198,74
351000,45000,19.81,1086,68.05
535000,12000,15.04,1598,103.6
175000,55500,18.2,998,67.1
525000,61500,18.5,1197,82.85
600000,150000,26.59,1248,74
565000,72000,19.1,1197,82
120000,68000,19.7,796,46.3
725000,110000,22.54,1396,88.73
185000,77000,21.79,998,67.05
200000,100000,18.8,1248,90
615000,10000,21.21,1197,81.8
270000,100000,15.37,1196,73
610000,35000,21.4,1197,83.1
625000,70000,11.79,2179,120
400000,5000,19,1194,94.68
866000,37800,17,1591,121.3
700000,114000,14.3,1798,160
300000,48000,15.8,1172,65
1700000,32000,15.1,2179,155
375000,100000,19.09,1405,69.01
522000,150000,22.32,1582,126.32
451999,69000,21.9,1396,88.76
300000,100000,14.53,1798,138.1
475000,13000,21.63,998,67.04
780000,60000,24.3,1248,88.5
595000,40000,20.85,1197,83.14
440000,35000,20.51,998,67.04
400000,70000,20.45,1461,83.8
1140000,50000,19.67,1582,126.2
850000,76139,23,1498,98.96
370000,175000,19.3,1248,73.9
350000,25000,23.01,999,67
360000,40000,23.1,998,67.04
105000,65000,19.7,796,46.3
625000,90000,20.77,1248,88.76
135000,80000,17.92,1086,62.1
700000,110000,20.77,1248,88.76
690000,1303,17.8,1198,86.7
3975000,31800,17.01,1968,188
5150000,20000,22.37,2487,214.56
3200000,45000,19.33,1999,177
4100000,17000,9.5,3604,280
4500000,21000,12.83,1999,148.31
6000000,37000,13.5,2987,254.79
3790000,29500,22.48,1995,187.74
5800000,7500,16.78,1995,190
1864999,50000,14.67,1798,177.46
